ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600519.SH,20250618,1356.5714,1359.8121,1338.6816,1342.4404,1427.0,-2.0,-0.1402,30760.99,4404131.364,0.942063
600519.SH,20250619,1343.3825,1350.6081,1335.0735,1343.3825,1425.0,1.0,0.0702,24500.72,3490268.568,0.942063
600519.SH,20250620,1341.1027,1357.6453,1337.9185,1345.8884,1426.0,2.66,0.1865,34815.81,4990683.314,0.942063
600519.SH,20250623,1337.7301,1349.9769,1323.7687,1337.7301,1428.66,-8.66,-0.6062,26723.31,3794012.343,0.942063
600519.SH,20250624,1340.886,1367.5747,1340.886,1353.9336,1420.0,17.2,1.2113,36311.51,5229183.514,0.942063
600519.SH,20250625,1355.7329,1365.2383,1338.2105,1352.6712,1437.2,-1.34,-0.0932,41050.07,5869292.227,0.942063
600519.SH,20250626,1359.1452,1371.632,1354.4194,1363.9478,1408.26,11.74,0.8337,34860.25,4955829.982,0.960527
600519.SH,20250627,1363.9574,1366.8294,1347.7053,1347.7053,1420.0,-16.91,-1.1908,38249.73,5404312.675,0.960527
600519.SH,20250630,1348.0991,1357.445,1346.6583,1353.8815,1403.09,6.43,0.4583,30457.3,4287373.691,0.960527
600519.SH,20250701,1353.382,1356.206,1347.9166,1349.636,1409.52,-4.42,-0.3136,19878.19,2794423.203,0.960527
600519.SH,20250702,1353.8623,1358.9531,1344.7373,1353.9583,1405.1,4.5,0.3203,26218.25,3689246.316,0.960527
600519.SH,20250703,1356.2636,1366.5316,1352.4215,1359.7215,1409.6,6.0,0.4257,24412.67,3456733.002,0.960527
600519.SH,20250704,1359.8175,1375.3685,1354.3521,1366.0802,1415.6,6.62,0.4676,28766.91,4086547.268,0.960527
600519.SH,20250707,1366.1378,1367.3096,1354.3521,1355.0149,1422.22,-11.52,-0.81,23854.67,3370562.659,0.960527
600519.SH,20250708,1355.0245,1363.9478,1355.0149,1360.2113,1410.7,5.41,0.3835,18673.7,2643302.691,0.960527
600519.SH,20250709,1359.1452,1373.5242,1358.3479,1362.872,1416.11,2.77,0.1956,27745.32,3950810.723,0.960527
600519.SH,20250710,1362.9585,1379.4891,1354.7267,1370.1912,1418.88,7.62,0.537,38725.03,5503329.754,0.960527
600519.SH,20250711,1366.9831,1400.4478,1366.9831,1370.6715,1426.5,0.5,0.0351,57243.35,8239010.39,0.960527
600519.SH,20250714,1373.5531,1378.3365,1365.4846,1367.4057,1427.0,-3.4,-0.2383,27780.94,3961736.006,0.960527
600519.SH,20250715,1364.8891,1366.7621,1352.7288,1355.3031,1423.6,-12.6,-0.8851,35405.78,5005150.165,0.960527
600519.SH,20250716,1354.3521,1361.5369,1354.2945,1355.3319,1411.0,0.03,0.0021,21286.05,3006882.579,0.960527
600519.SH,20250717,1358.1654,1366.839,1357.1088,1360.4419,1411.03,5.32,0.377,23105.54,3273100.406,0.960527
600519.SH,20250718,1363.9478,1381.0548,1360.4707,1380.2768,1416.35,20.65,1.458,41823.41,5984949.774,0.960527
600519.SH,20250721,1380.2671,1389.6899,1378.3557,1386.0399,1437.0,6.0,0.4175,26203.31,3779891.829,0.960527
600519.SH,20250722,1387.0004,1408.7083,1383.8115,1407.1523,1443.0,21.98,1.5232,42118.98,6127636.851,0.960527
600519.SH,20250723,1411.0136,1435.9873,1410.9656,1417.257,1464.98,10.52,0.7181,45044.84,6676301.462,0.960527
600519.SH,20250724,1417.7373,1439.8294,1416.7768,1432.6255,1475.5,16.0,1.0844,38803.64,5786337.377,0.960527
600519.SH,20250725,1432.5294,1432.5294,1395.6452,1397.5662,1491.5,-36.5,-2.4472,41911.26,6140078.741,0.960527
600519.SH,20250728,1395.6452,1397.5566,1379.6044,1381.8712,1455.0,-16.34,-1.123,38586.32,5560966.386,0.960527
600519.SH,20250729,1382.7741,1391.6014,1378.3653,1382.1978,1438.66,0.34,0.0236,26304.08,3785848.102,0.960527
600519.SH,20250730,1387.0004,1399.641,1380.2768,1392.2257,1439.0,10.44,0.7255,31867.71,4612883.04,0.960527
600519.SH,20250731,1386.0399,1387.8361,1362.0267,1365.5519,1449.44,-27.77,-1.9159,51797.51,7386302.758,0.960527
600519.SH,20250801,1365.744,1369.6725,1358.1846,1361.0662,1421.67,-4.67,-0.3285,29635.59,4200850.79,0.960527
600519.SH,20250804,1359.1452,1363.7557,1358.1846,1362.9873,1417.0,2.0,0.1411,18687.95,2647105.74,0.960527
600519.SH,20250805,1364.9083,1373.4954,1361.1719,1371.3823,1419.0,8.74,0.6159,25342.27,3607931.488,0.960527
600519.SH,20250806,1372.5925,1372.5925,1363.2754,1367.6746,1427.74,-3.86,-0.2704,23699.28,3372334.94,0.960527
600519.SH,20250807,1367.6746,1371.3439,1364.0054,1366.205,1423.88,-1.53,-0.1075,28001.34,3988765.795,0.960527
600519.SH,20250808,1366.8774,1370.1912,1362.0267,1364.8795,1422.35,-1.38,-0.097,18655.28,2651478.118,0.960527
600519.SH,20250811,1367.3096,1394.675,1366.8294,1387.961,1420.97,24.03,1.6911,47159.07,6794034.09,0.960527
600519.SH,20250812,1391.8031,1407.2387,1379.3162,1380.3152,1445.0,-7.96,-0.5509,42019.23,6095342.036,0.960527
600519.SH,20250813,1368.7504,1377.0878,1363.9478,1363.9958,1437.04,-16.99,-1.1823,65527.54,9325460.101,0.960527
600519.SH,20250814,1364.8507,1390.3719,1364.8507,1370.6619,1420.05,6.94,0.4887,48129.3,6897535.33,0.960527
600519.SH,20250815,1369.7206,1372.266,1364.1591,1365.9457,1426.99,-4.91,-0.3441,47581.65,6772436.997,0.960527
600519.SH,20250818,1370.6619,1379.931,1366.9254,1372.1123,1422.08,6.42,0.4515,47377.98,6773477.871,0.960527
600519.SH,20250819,1376.9149,1389.5554,1375.4741,1381.2373,1428.5,9.5,0.665,46371.86,6678541.001,0.960527
600519.SH,20250820,1381.2373,1395.4531,1373.5723,1392.7636,1438.0,12.0,0.8345,45804.66,6623095.725,0.960527
600519.SH,20250821,1396.0774,1397.5566,1386.6643,1391.0827,1450.0,-1.75,-0.1207,30890.57,4470441.662,0.960527
600519.SH,20250822,1391.6878,1406.211,1387.74,1406.1629,1448.25,15.7,1.0841,44970.58,6544867.368,0.960527
600519.SH,20250825,1411.9837,1436.9478,1408.132,1431.5016,1463.95,26.38,1.802,65324.55,9676719.498,0.960527
600519.SH,20250826,1431.492,1435.2477,1421.589,1423.1258,1490.33,-8.72,-0.5851,39602.13,5883917.0,0.960527
600519.SH,20250827,1423.3852,1426.3148,1390.8425,1390.8425,1481.61,-33.61,-2.2685,56006.09,8184169.113,0.960527
600519.SH,20250828,1390.8137,1398.6228,1381.9769,1389.0175,1448.0,-1.9,-0.1312,39281.77,5683673.273,0.960527
600519.SH,20250829,1395.6452,1424.0576,1394.6846,1421.5794,1446.1,33.9,2.3442,62256.48,9159701.454,0.960527
600519.SH,20250901,1423.6926,1429.2636,1407.8439,1417.8333,1480.0,-3.9,-0.2635,45123.38,6658918.555,0.960527
600519.SH,20250902,1420.2923,1449.4347,1419.6583,1432.4333,1476.1,15.2,1.0297,56688.37,8470012.816,0.960527
