ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20241211,16.3618,16.4392,16.2941,16.4005,16.91,0.05,0.2957,416884.31,705875.919,0.96701
600031.SH,20241212,16.3521,16.4778,16.2748,16.4585,16.96,0.06,0.3538,513951.78,870720.299,0.96701
600031.SH,20241213,16.4295,16.4295,15.9847,16.0137,17.02,-0.46,-2.7027,796090.72,1327924.422,0.96701
600031.SH,20241216,16.0233,16.12,15.7913,15.8396,16.56,-0.18,-1.087,498875.68,822150.383,0.96701
600031.SH,20241217,15.859,16.1007,15.8106,15.9557,16.38,0.12,0.7326,437310.5,722322.915,0.96701
600031.SH,20241218,15.975,16.1684,15.859,15.9363,16.5,-0.02,-0.1212,492483.64,814280.884,0.96701
600031.SH,20241219,15.8203,15.975,15.6656,15.946,16.48,0.01,0.0607,353762.26,580728.232,0.96701
600031.SH,20241220,15.946,15.975,15.5689,15.5882,16.49,-0.37,-2.2438,754342.64,1221819.668,0.96701
600031.SH,20241223,15.5592,15.9557,15.5495,15.7816,16.12,0.2,1.2407,726564.94,1189851.578,0.96701
600031.SH,20241224,15.7719,15.9363,15.7332,15.8686,16.32,0.09,0.5515,357518.33,585466.317,0.96701
600031.SH,20241225,15.8783,15.9363,15.7719,15.859,16.41,-0.01,-0.0609,283883.64,465011.365,0.96701
600031.SH,20241226,15.8203,16.1684,15.8106,16.1491,16.4,0.3,1.8293,594926.58,988384.03,0.96701
600031.SH,20241227,16.1587,16.2168,16.033,16.0814,16.7,-0.07,-0.4192,423688.88,705756.816,0.96701
600031.SH,20241230,16.0524,16.1877,16.004,16.1297,16.63,0.05,0.3007,418518.28,697067.423,0.96701
600031.SH,20241231,16.1104,16.1974,15.9363,15.9363,16.68,-0.2,-1.199,515155.64,857354.76,0.96701
600031.SH,20250102,15.9363,15.9363,15.1724,15.2497,16.48,-0.71,-4.3083,853894.28,1368558.133,0.96701
600031.SH,20250103,15.3271,15.4722,15.037,15.0853,15.77,-0.17,-1.078,534033.71,842151.57,0.96701
600031.SH,20250106,15.0853,15.1917,14.9113,15.066,15.6,-0.02,-0.1282,454873.82,707452.833,0.96701
600031.SH,20250107,15.0757,15.124,14.921,15.008,15.58,-0.06,-0.3851,393682.19,611079.078,0.96701
600031.SH,20250108,15.0563,15.1917,14.7566,15.0563,15.52,0.05,0.3222,573354.64,888892.453,0.96701
600031.SH,20250109,14.9983,15.0467,14.8146,14.8629,15.57,-0.2,-1.2845,357776.55,551312.715,0.96701
600031.SH,20250110,14.9113,15.1917,14.8726,14.9306,15.37,0.07,0.4554,467712.6,727772.401,0.96701
600031.SH,20250113,14.8823,15.1821,14.7276,14.8049,15.44,-0.13,-0.842,384318.12,592609.973,0.96701
600031.SH,20250114,14.8049,15.3271,14.7952,15.2788,15.31,0.49,3.2005,590312.54,925532.19,0.96701
600031.SH,20250115,15.2788,15.2788,14.8726,14.8919,15.8,-0.4,-2.5316,543389.11,843185.8,0.96701
600031.SH,20250116,14.979,15.2788,14.9306,15.0273,15.4,0.14,0.9091,542228.15,847230.101,0.96701
600031.SH,20250117,14.979,15.0273,14.8049,14.9113,15.54,-0.12,-0.7722,426413.35,657250.287,0.96701
600031.SH,20250120,14.9886,15.5302,14.9886,15.3948,15.42,0.5,3.2425,963356.38,1530045.633,0.96701
600031.SH,20250121,15.5205,15.6946,15.3561,15.6752,15.92,0.29,1.8216,629239.09,1016548.149,0.96701
600031.SH,20250122,15.6752,15.7913,15.4722,15.5689,16.21,-0.11,-0.6786,479082.6,772633.831,0.96701
600031.SH,20250123,15.6752,15.7236,15.4915,15.5398,16.1,-0.03,-0.1863,421624.11,679202.056,0.96701
600031.SH,20250124,15.5302,15.7526,15.4818,15.6656,16.07,0.13,0.809,361406.49,585630.964,0.96701
600031.SH,20250127,15.7526,15.8009,15.5689,15.5689,16.2,-0.1,-0.6173,302234.69,488912.395,0.96701
600031.SH,20250205,15.5689,15.6365,15.2594,15.2884,16.1,-0.29,-1.8012,450016.98,713063.047,0.96701
600031.SH,20250206,15.2691,15.3464,15.066,15.2401,15.81,-0.05,-0.3163,553644.78,869586.767,0.96701
600031.SH,20250207,15.2594,16.2458,15.124,16.1974,15.76,0.99,6.2817,1304535.45,2129487.598,0.96701
600031.SH,20250210,16.1587,16.4875,16.0717,16.4295,16.75,0.24,1.4328,983276.22,1664804.717,0.96701
600031.SH,20250211,16.4198,16.4972,16.2844,16.3231,16.99,-0.11,-0.6474,492631.29,833681.769,0.96701
600031.SH,20250212,16.2844,16.5552,16.2071,16.4295,16.88,0.11,0.6517,507705.32,860584.288,0.96701
600031.SH,20250213,16.4392,16.6326,16.3425,16.4005,16.99,-0.03,-0.1766,580842.53,990681.003,0.96701
600031.SH,20250214,16.4295,16.9033,16.4198,16.884,16.96,0.5,2.9481,1061950.65,1842907.122,0.96701
600031.SH,20250217,16.8743,16.942,16.5649,16.7873,17.46,-0.1,-0.5727,705108.88,1219254.121,0.96701
600031.SH,20250218,16.7486,16.884,16.3715,16.4778,17.36,-0.32,-1.8433,703328.25,1209116.572,0.96701
600031.SH,20250219,16.5069,16.9904,16.4778,16.8743,17.04,0.41,2.4061,857545.07,1495324.78,0.96701
600031.SH,20250220,16.9033,17.1161,16.7196,17.0677,17.45,0.2,1.1461,793701.63,1391269.821,0.96701
600031.SH,20250221,17.0194,17.1741,16.6712,17.0967,17.65,0.03,0.17,979194.6,1715682.115,0.96701
600031.SH,20250224,17.1161,17.3578,17.0677,17.2515,17.68,0.16,0.905,695859.41,1239761.456,0.96701
600031.SH,20250225,17.1354,17.5802,17.029,17.3095,17.84,0.06,0.3363,805857.16,1447158.243,0.96701
600031.SH,20250226,17.2901,17.5802,17.1451,17.2031,17.9,-0.11,-0.6145,661486.15,1186667.988,0.96701
600031.SH,20250227,17.1741,17.5319,17.1257,17.4255,17.79,0.23,1.2929,814638.24,1463890.156,0.96701
600031.SH,20250228,17.3385,17.8897,17.3191,17.5996,18.02,0.18,0.9989,1371673.92,2514994.108,0.96701
600031.SH,20250303,17.6479,18.7406,17.6479,18.1798,18.2,0.6,3.2967,1514306.87,2880689.116,0.96701
600031.SH,20250304,18.0831,18.3248,17.909,18.2185,18.8,0.04,0.2128,695432.69,1306371.554,0.96701
600031.SH,20250305,18.8083,19.3402,18.7406,19.0307,18.84,0.84,4.4586,2198570.11,4353081.527,0.96701
